label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
SN,Aramid,Kenaf,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,22.7,6.5,0.0,70.8,,,,250.00,3.40,15.00,1.00,35.00
SN,Aramid,Kenaf,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,19.7,11.8,0.0,68.6,,,,150.00,2.90,20.00,1.00,24.00
SN,Aramid,Kenaf,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,14.2,14.5,0.0,71.2,,,,100.00,1.00,12.00,0.20,20.00
SN,Aramid,Kenaf,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,7.9,22.8,0.0,69.3,,,,50.00,0.55,10.00,0.20,35.00
SN,Aramid,Kenaf,,Epoxy,TS,S,HL,No,,Izod,ASTM D256,9.1,19.8,0.0,71.1,,,,55.00,0.75,12.50,0.25,20.00
S,Aramid,,,Epoxy,TS,,HL,,,Izod,ASTM D256,29.9,0.0,0.0,70.1,,,,275.00,2.75,32.50,3.00,1.00
N,Kenaf,,,Epoxy,TS,,HL,No,,Izod,ASTM D256,33.4,0.0,0.0,66.6,,,,20.00,0.50,7.00,0.30,10.00
N,Jute,,,Epoxy,TS,,HL,No,,Izod,ASTM D256,31.1,0.0,0.0,68.9,,,,,,75.50,4.32,0.10
NN,Jute,Empty fruit bunch,,Epoxy,TS,,HL,No,,Izod,ASTM D256,7.6,25.4,0.0,67.1,,,,,,45.50,3.42,0.17
NN,Jute,Empty fruit bunch,,Epoxy,TS,,HL,No,,Izod,ASTM D256,18.6,15.6,0.0,65.9,,,,,,56.30,3.63,0.13
NN,Jute,Empty fruit bunch,,Epoxy,TS,,HL,No,,Izod,ASTM D256,29.2,6.1,0.0,64.7,,,,,,59.40,4.20,0.12
N,Empty fruit bunch,,,Epoxy,TS,,HL,No,,Izod,ASTM D256,36.1,0.0,0.0,63.9,,,,,,41.70,2.30,0.28
N,Flax,,,Epoxy,TS,,VI,No,,,,29.0,0.0,0.0,71.0,,,,95.15,7.07,,,
SN,Carbon,Flax,,Epoxy,TS,I,VI,No,,,,8.0,31.0,0.0,61.0,,,,163.96,10.94,,,
SN,Carbon,Flax,,Epoxy,TS,I,VI,No,,,,14.0,29.0,0.0,57.0,,,,224.63,14.59,,,
SN,Carbon,Flax,,Epoxy,TS,I,VI,No,,,,14.0,29.0,0.0,57.0,,,,238.75,16.48,,,
SN,Carbon,Flax,,Epoxy,TS,S,VI,No,,,,15.0,31.0,0.0,54.0,,,,229.43,17.28,,,
SN,Carbon,Flax,,Epoxy,TS,I,VI,No,,,,13.0,28.0,0.0,59.0,,,,237.21,17.05,,,
N,Flax,,,Epoxy,TS,,Prepreg press molding,No,,,,56.0,0.0,0.0,44.0,,,,,,95.66,4.78,
S,Carbon,,,Epoxy,TS,,Prepreg press molding,No,,,,59.0,0.0,0.0,41.0,,,,,,464.00,52.82,
SN,Carbon,Flax,,Epoxy,TS,S,Prepreg press molding,No,,,,29.0,29.0,0.0,42.0,,,,,,425.00,17.90,
N,Flax,,,Phenolic,TS,,RTM,No,,,,67.0,0.0,0.0,33.0,,,,240.00,29.04,,,
SN,Glass,Flax,,Phenolic,TS,S,RTM,No,,,,9.4,57.6,0.0,33.0,,,,330.00,32.28,,,
SN,Glass,Flax,,Phenolic,TS,I,RTM,No,,,,20.8,46.2,0.0,33.0,,,,405.00,36.44,,,
SN,Glass,Flax,,Phenolic,TS,I,RTM,No,,,,33.5,33.5,0.0,33.0,,,,450.00,40.88,,,
SN,Glass,Flax,,Phenolic,TS,I,RTM,No,,,,48.9,18.1,0.0,33.0,,,,550.00,44.99,,,
SN,Glass,Flax,,Phenolic,TS,I,RTM,No,,,,32.0,35.0,0.0,33.0,,,,450.10,40.10,,,
SN,Glass,Flax,,Phenolic,TS,I,RTM,No,,,,32.0,35.0,0.0,33.0,,,,412.50,40.80,,,
SN,Glass,Flax,,Phenolic,TS,S,RTM,No,,,,32.0,35.0,0.0,33.0,,,,392.50,39.70,,,
N,Flax,,,Epoxy,TS,,HL,No,,,,,,,,,,,,,120.00,3.40,
SN,Glass,Flax,,Epoxy,TS,I,HL,No,,,,,,,,,,,,,367.00,9.30,
SN,Glass,Flax,,Epoxy,TS,I,HL,No,,,,,,,,,,,,,300.00,8.80,
SN,Glass,Flax,,Epoxy,TS,S,HL,No,,,,,,,,,,,,,167.00,4.80,
SN,Glass,Flax,,Epoxy,TS,S,HL,No,,,,,,,,,,,,,385.00,11.80,
SN,Glass,Flax,,Epoxy,TS,I,HL,No,,,,,,,,,,,,,270.00,8.20,
SN,Glass,Flax,,Epoxy,TS,I,HL,No,,,,,,,,,,,,,350.00,10.90,
